Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note,Amount,Currency,Account
12/30/2021 14:10,CUB - online payment,Food,,To barath,20,Expense,,20,INR,20
12/30/2021 13:56,CUB - online payment,Transportation,,Pg to office,43,Expense,,43,INR,43
12/30/2021 13:36,CUB - online payment,Other,,From kumara,30,Income,,30,INR,30
12/30/2021 12:43,CUB - online payment,Food,,Horlicks + kolakattai,25,Expense,,25,INR,25
12/30/2021 12:38,CUB - online payment,Transportation,,Bommasandra to pg,199,Expense,,199,INR,199
12/30/2021 12:37,CUB - online payment,Other,,From Deepak,250,Income,,250,INR,250
12/30/2021 11:45,CUB - online payment,Food,,Water,20,Expense,,20,INR,20
12/30/2021 11:45,CUB - online payment,Other,,From abi,20,Income,,20,INR,20
12/30/2021 11:45,CUB - online payment,Transportation,,Rapido + toll,286,Expense,,286,INR,286
12/30/2021 11:44,CUB - online payment,Other,,From Deepak,250,Income,,250,INR,250
12/28/2021 13:42,CUB - online payment,Food,,Coffee and thattai,14,Expense,,14,INR,14
12/27/2021 13:45,CUB - online payment,Food,,Lunch with barath,115,Expense,,115,INR,115
12/27/2021 13:44,CUB - online payment,Other,,From vicky,80,Income,,80,INR,80
12/27/2021 12:33,CUB - online payment,Other,,From ganesan,40,Income,,40,INR,40
12/27/2021 12:33,CUB - online payment,Food,,Coconut water with stu,50,Expense,,50,INR,50
12/25/2021 22:53,CUB - online payment,Food,,Dinner with barath,504,Expense,,504,INR,504
12/25/2021 20:46,CUB - online payment,Transportation,,Cab,306,Expense,,306,INR,306
12/25/2021 19:50,CUB - online payment,Self-development,,Books,400,Expense,,400,INR,400
12/25/2021 17:01,CUB - online payment,Food,,Corn,30,Expense,,30,INR,30
12/25/2021 15:35,CUB - online payment,Food,,Water,30,Expense,,30,INR,30
12/25/2021 13:32,CUB - online payment,Food,,Milk with bharath,40,Expense,,40,INR,40
12/24/2021 21:49,CUB - online payment,Social Life,,Beer,150,Expense,,150,INR,150
12/24/2021 14:35,CUB - online payment,Food,,Lunch with company,262,Expense,,262,INR,262
12/23/2021 16:31,CUB - online payment,Food,,Lemon tea with company,15,Expense,,15,INR,15
12/23/2021 13:51,CUB - online payment,Food,,Puffs and coffee,32,Expense,,32,INR,32
12/21/2021 20:53,CUB - online payment,Food,,Dinner with barath,239,Expense,,239,INR,239
12/21/2021 14:02,CUB - online payment,Food,,Puffs,25,Expense,,25,INR,25
12/21/2021 11:43,CUB - online payment,Food,,Bun,18,Expense,,18,INR,18
12/20/2021 19:23,CUB - online payment,Food,,Milk with bharath,80,Expense,,80,INR,80
12/20/2021 19:22,CUB - online payment,Transportation,,Taxi,80,Expense,,80,INR,80
12/20/2021 16:55,CUB - online payment,Food,,Snacks,20,Expense,,20,INR,20
12/20/2021 15:29,CUB - online payment,Food,,Water,20,Expense,,20,INR,20
12/20/2021 13:35,CUB - online payment,Food,,Lunch with barath,85,Expense,,85,INR,85
12/20/2021 9:46,CUB - online payment,Food,,Milk with bharath,40,Expense,,40,INR,40
12/19/2021 15:51,CUB - online payment,Other,,To siva,100,Expense,,100,INR,100
12/18/2021 21:01,CUB - online payment,Other,,To kumara,100,Expense,,100,INR,100
12/18/2021 21:01,CUB - online payment,Other,,To abijith,200,Expense,,200,INR,200
12/18/2021 21:00,CUB - online payment,Food,,To rahul,113,Expense,,113,INR,113
12/18/2021 21:00,CUB - online payment,Allowance,,From dad,1000,Income,,1000,INR,1000
12/18/2021 19:52,CUB - online payment,Other,,Lended money,400,Income,,400,INR,400
12/18/2021 19:51,CUB - online payment,Social Life,,Spiderman ,363.72,Expense,,363.72,INR,363.72
12/18/2021 14:19,CUB - online payment,Food,,Lunch,160,Expense,,160,INR,160
12/17/2021 18:54,CUB - online payment,Food,,Milk with bharath,70,Expense,,70,INR,70
12/17/2021 14:45,CUB - online payment,Food,,Lunch with company,110,Expense,,110,INR,110
12/17/2021 8:35,CUB - online payment,Other,,Gave to gowdham,50,Expense,,50,INR,50
12/16/2021 18:44,CUB - online payment,Food,,Egg,30,Expense,,30,INR,30
12/16/2021 18:35,CUB - online payment,Food,,Panipoori,20,Expense,,20,INR,20
12/16/2021 13:38,CUB - online payment,Food,,Lunch,30,Expense,,30,INR,30
12/16/2021 10:42,CUB - online payment,Food,,Milk with bharath,110,Expense,,110,INR,110
12/14/2021 23:54,CUB - online payment,Food,,Lunch,40,Expense,,40,INR,40
12/14/2021 21:21,CUB - online payment,Food,,Snacks,75,Expense,,75,INR,75
12/14/2021 21:03,CUB - online payment,Food,,Panipoori,80,Expense,,80,INR,80
12/14/2021 15:18,CUB - online payment,Food,,Snacks,74,Expense,,74,INR,74
12/14/2021 10:33,CUB - online payment,Food,,Milk with bharath,65,Expense,,65,INR,65
12/12/2021 21:47,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/11/2021 9:22,CUB - online payment,Allowance,,From dad,1000,Income,,1000,INR,1000
12/11/2021 8:20,CUB - online payment,Other,,From stu,240,Income,,240,INR,240
12/10/2021 21:38,CUB - online payment,Food,,Shopping,241,Expense,,241,INR,241
12/10/2021 20:55,CUB - online payment,Food,,Momos,195,Expense,,195,INR,195
12/9/2021 20:03,CUB - online payment,Food,,Snack with bharath,40,Expense,,40,INR,40
12/9/2021 14:01,CUB - online payment,Food,,Lunch with company,280,Expense,,280,INR,280
12/9/2021 9:56,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/9/2021 8:47,CUB - online payment,Food,,Breakfast with stu,110,Expense,,110,INR,110
12/8/2021 14:15,CUB - online payment,Food,,Lunch with stu,100,Expense,,100,INR,100
12/8/2021 14:15,Cash,Food,,5 star,1120.72,Expense,,15,USD,15
12/8/2021 7:17,CUB - online payment,Food,,Milk,10,Expense,,10,INR,10
12/7/2021 9:54,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/7/2021 7:59,CUB - online payment,Food,,Horlicks,15,Expense,,15,INR,15
12/6/2021 21:59,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/6/2021 20:07,CUB - online payment,Apparel,,Shoe,500,Expense,,500,INR,500
12/6/2021 19:57,CUB - online payment,Apparel,,Cap,140,Expense,,140,INR,140
12/6/2021 14:08,CUB - online payment,Food,,Lunch with stu,150,Expense,,150,INR,150
12/5/2021 19:45,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/5/2021 18:41,CUB - online payment,Apparel,,Full hand and a hoodie,1800,Expense,,1800,INR,1800
12/5/2021 12:23,CUB - online payment,Household,,Rent,4800,Expense,,4800,INR,4800
12/5/2021 12:23,CUB - online payment,Allowance,,From dad,8000,Income,,8000,INR,8000
12/4/2021 21:05,CUB - online payment,Food,,Dinner,324,Expense,,324,INR,324
12/4/2021 20:20,CUB - online payment,Food,,Snack,65,Expense,,65,INR,65
12/4/2021 13:54,CUB - online payment,Other,,For company,30,Expense,,30,INR,30
12/4/2021 10:13,CUB - online payment,Food,,Breakfast,200,Expense,,200,INR,200
12/3/2021 21:59,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/3/2021 21:59,CUB - online payment,Apparel,,Belt,130,Expense,,130,INR,130
12/3/2021 21:28,CUB - online payment,Apparel,,Mask,20,Expense,,20,INR,20
12/3/2021 21:28,CUB - online payment,Food,,Snack,40,Expense,,40,INR,40
12/3/2021 21:28,CUB - online payment,Allowance,,From dad,1000,Income,,1000,INR,1000
12/2/2021 20:07,CUB - online payment,Food,,Ice cream,504,Expense,,504,INR,504
12/2/2021 19:48,CUB - online payment,Food,,Vadapaav,75,Expense,,75,INR,75
12/1/2021 19:57,CUB - online payment,Beauty,,Showergel,196,Expense,,196,INR,196
12/1/2021 14:00,CUB - online payment,Food,,Lunch with company,160,Expense,,160,INR,160
